iteration,official_year,ceremony_date,category_group,category,official_name,common_name,nomination_id,statement,pending,winner,official,stat,statement_name,statement_ind,entity_imdb_id,entity_type,name,title_imdb_id,title,detail,title_winner,note
2,1928/29,1930-04-03,Cinematography,Cinematography,CINEMATOGRAPHY,Best Cinematography,59,John Seitz,False,False,False,False,John Seitz,0,nm0005870,person,John Seitz,tt0019824,The Divine Lady,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Directing,Director,DIRECTING,Best Director,33,Frank Lloyd,False,True,False,False,Frank Lloyd,0,nm0515979,person,Frank Lloyd,tt0019824,The Divine Lady,[],True,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]"
2,1928/29,1930-04-03,Directing,Director,DIRECTING,Best Director,34,Lionel Barrymore,False,False,False,False,Lionel Barrymore,0,nm0000859,person,Lionel Barrymore,tt0020126,Madame X,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Directing,Director,DIRECTING,Best Director,35,Harry Beaumont,False,False,False,False,Harry Beaumont,0,nm0064600,person,Harry Beaumont,tt0019729,The Broadway Melody,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Directing,Director,DIRECTING,Best Director,36,Irving Cummings,False,False,False,False,Irving Cummings,0,nm0191899,person,Irving Cummings,tt0020018,In Old Arizona,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Directing,Director,DIRECTING,Best Director,37,Frank Lloyd,False,False,False,False,Frank Lloyd,0,nm0515979,person,Frank Lloyd,tt0019557,Weary River,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Directing,Director,DIRECTING,Best Director,37,Frank Lloyd,False,False,False,False,Frank Lloyd,0,nm0515979,person,Frank Lloyd,tt0019833,Drag,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Directing,Director,DIRECTING,Best Director,38,Ernst Lubitsch,False,False,False,False,Ernst Lubitsch,0,nm0523932,person,Ernst Lubitsch,tt0019257,The Patriot,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Production Design,Production Design,ART DIRECTION,Best Art Direction,50,Cedric Gibbons,False,True,False,False,Cedric Gibbons,0,nm0316539,person,Cedric Gibbons,tt0019722,The Bridge of San Luis Rey,[],True,"[NOTE: The award citation reads 'for 'The Bridge of San Luis Rey' and other pictures.' THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]"
2,1928/29,1930-04-03,Production Design,Production Design,ART DIRECTION,Best Art Direction,51,Hans Dreier,False,False,False,False,Hans Dreier,0,nm0237417,person,Hans Dreier,tt0019257,The Patriot,[],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
